state, biden, trump, other
Alabama, 849624, 1441170, 34927
Alaska, 153778, 189951, 36755
Arizona, 1672143, 1661686, 51552
Arkansas, 423932, 760647, 16804
California, 11109764, 6005961, 218140
Colorado, 1804352, 1364607, 72743
Connecticut, 1087714, 715291, 56657
Delaware, 296268, 200603, 6022
District of Columbia, 317323, 18586, 12434
Florida, 5297045, 5668731, 214502
Georgia, 2473633, 2461854, 62400
Hawaii, 366130, 196864, 18589
Idaho, 287021, 554119, 31881
Illinois, 3472330, 2444511, 147335
Indiana, 1242496, 1724388, 62787
Iowa, 759061, 897672, 22288
Kansas, 570323, 771406, 26619
Kentucky, 772474, 1326646, 28832
Louisiana, 856034, 1255776, 28503
Maine, 430774, 359899, 42871
Maryland, 1985023, 976414, 52153
Massachusetts, 2382202, 1167202, 112262
Michigan, 2804040, 2649852, 67435
Minnesota, 1717073, 1484065, 121273
Mississippi, 539398, 756764, 14211
Missouri, 1253014, 1718736, 56186
Montana, 244786, 343602, 32923
Nebraska, 374583, 556846, 30226
Nevada, 703486, 669890, 34236
New Hampshire, 424921, 365654, 30145
New Jersey, 2608335, 1892743, 96679
New Mexico, 501614, 401894, 36035
New York, 5238172, 3224491, 241083
North Carolina, 2684352, 2731741, 63149
North Dakota, 114902, 235595, 10132
Ohio, 2679167, 3154843, 109899
Oklahoma, 503890, 1020280, 36045
Oregon, 1340383, 958448, 71877
Pennsylvania, 3458621, 3376312, 164833
Rhode Island, 307486, 197290, 19695
South Carolina, 1091541, 1385103, 32648
South Dakota, 150471, 261043, 23331
Tennessee, 1131319, 1852475, 55957
Texas, 5259126, 5890342, 160358
Utah, 560282, 865140, 68141
Vermont, 242820, 112704, 13416
Virginia, 2413568, 1962434, 92844
Washington, 2369619, 1584834, 138467
West Virginia, 235984, 545382, 11326
Wisconsin, 1630866, 1610184, 45288
Wyoming, 73491, 193559, 13145
